diagnostic_group,velocity_band,rows,mean_actual_mph,mean_residual_mph,mae,rmse,abs_mean_residual_mph,bias_direction
velocity_band,80-85,41,82.48536585365854,-2.2776140816647517,2.4216939388052645,3.3165298711671545,2.2776140816647517,overpredicts
velocity_band,85-90,42,87.58809523809524,0.4211270848927479,2.3748072533987687,2.821591422291294,0.4211270848927479,underpredicts
velocity_band,90-95,20,91.19500000000001,3.078065075791688,3.078065075791688,3.308279476827183,3.078065075791688,underpredicts
velocity_band,<80,16,78.4125,-1.569880961644734,1.569880961644734,1.8347531655886413,1.569880961644734,overpredicts
