group,rows,mean_actual_mph,mean_predicted_mph,mean_residual_mph,mae,rmse,underprediction_rate,overprediction_rate
all_pitches,119,85.20252100840335,85.53236666935496,-0.3298456609516083,2.4009306977807867,2.981888518277564,0.3697478991596639,0.6302521008403361
<90_mph,99,83.9919191919192,85.01023166837449,-1.0183124764553044,2.2641358739402007,2.9115117652867495,0.24242424242424243,0.7575757575757576
90+_mph,20,91.19500000000001,88.11693492420831,3.078065075791688,3.078065075791688,3.308279476827183,1.0,0.0
