feature_removed,feature_count,rmse_mean,mae_mean,r2_mean,rmse_delta_vs_all
kinetic_chain_transfer_score,6,4.292758321121192,3.4303930728288856,0.1333046987979885,0.7874786007202852
arm_speed_score,6,3.643878089101906,2.841759443156554,0.3484067171201222,0.13859836870099906
release_consistency_score,6,3.5176482563338847,2.711125616573797,0.39205720946701383,0.012368535932977931
sequencing_efficiency,6,3.5075279878322925,2.718263459654354,0.3989334088014585,0.002248267431385731
none,7,3.5052797204009067,2.716964558687477,0.3967685037977764,0.0
lead_leg_block_score,6,3.4937093712299654,2.7221759031519457,0.3995659334615576,-0.011570349170941352
lower_body_force_score,6,3.4532387481330242,2.669666969232478,0.41316453643360734,-0.05204097226788251
hip_shoulder_separation_score,6,3.421619390655341,2.6837788805874374,0.4254617557682049,-0.08366032974556559
