diagnostic_group,velocity_band,rows,mean_actual_mph,mean_residual_mph,mae,rmse
velocity_band,80-85,41,82.48536585365854,-2.221989601246176,2.251945461629514,2.887221184614867
velocity_band,85-90,42,87.58809523809524,0.9884804152776818,2.262674057117254,2.8937719721672486
velocity_band,90-95,20,91.19500000000001,4.137233436494764,4.137233436494764,4.319802306589886
velocity_band,<80,16,78.4125,-2.5195429354365437,2.5195429354365437,2.695160128198044
session,2990,4,81.55,-0.3142990830127914,0.6213466519420052,0.7283780633631373
session,2993,4,91.1,3.5258086064854233,3.5258086064854233,3.5826289570517287
session,2996,4,88.325,-1.8486031270803274,1.8486031270803274,1.9587039812207867
session,2999,5,84.0,-1.7156097579795868,1.7156097579795868,1.7365566791152816
session,3034,5,80.46000000000001,-1.6089954541720146,1.6089954541720146,1.7725048574327298
session,3035,5,86.03999999999999,-1.340329718587526,1.4680392382694039,1.6944625946754768
session,3036,4,86.825,0.8864363501384354,0.8864363501384354,1.1847766793594203
session,3037,5,88.9,4.1119812536149,4.1119812536149,4.143948933716921
session,3043,5,87.24000000000001,0.2103154617960513,0.5190148483789472,0.6152888933351253
session,3044,5,87.55999999999999,-1.9559451515956823,1.9559451515956823,1.9855011629402106
session,3046,4,82.0,-1.076635683623138,1.076635683623138,1.1698617721896052
session,3053,5,81.32000000000001,-1.9048506742263442,1.9048506742263442,1.9880288492609661
session,3055,5,79.08,-3.2809832496906695,3.2809832496906695,3.362787046831852
session,3065,5,89.17999999999999,5.583884016813792,5.583884016813792,5.598060017218676
session,3132,5,92.08,6.019419611091567,6.019419611091567,6.056108341476154
session,3140,5,84.78,-0.6189092038308246,1.1011571527883035,1.199117122020002
session,3172,5,78.38,-1.3813629863338406,1.3813629863338406,1.458686757173727
session,3222,5,77.62,-2.9058255094646994,2.9058255094646994,2.91891997180884
session,3228,5,91.02,3.2421419112990804,3.2421419112990804,3.301025551195444
session,3232,5,83.03999999999999,-1.691955944684247,1.691955944684247,1.7668177326957795
session,3233,5,85.84,-0.10533743402626498,0.6111655074664298,0.7443503488408941
session,3247,5,83.55999999999999,-3.495715268219553,3.495715268219553,3.615010419449132
session,3248,5,90.67999999999999,3.371301390054336,3.371301390054336,3.417089218428347
session,3250,4,89.775,4.278375569672207,4.278375569672207,4.290431341401415
session,3252,5,81.38,-6.324772287226321,6.324772287226321,6.377911062239432
