row_type,model,fold,train_rows,test_rows,rmse,mae,r2,repeat,selected_alpha,feature_count,feature_set,metric,mean,std,ci_lower,ci_upper,rmse_mean,rmse_delta_vs_best
fold,ridge_raw_plus_engineered,r1_f5,320,91,2.645766343867806,2.227761498194442,0.6099125466043019,1.0,10.0,28,raw_plus_engineered,,,,,,,
fold,ridge_raw_plus_engineered,r2_f1,325,86,2.76241877181876,2.172495102970703,0.6217469579828725,2.0,0.1,28,raw_plus_engineered,,,,,,,
fold,ridge_raw_plus_engineered,r2_f2,333,78,2.9764796367064466,2.3632046665792594,0.6075288826341321,2.0,100.0,28,raw_plus_engineered,,,,,,,
fold,ridge_raw_plus_engineered,r2_f3,328,83,2.6908536145751123,1.992335730972804,0.6248147412027479,2.0,100.0,28,raw_plus_engineered,,,,,,,
fold,ridge_raw_plus_engineered,r2_f4,331,80,2.842775627332769,2.0994201934543084,0.614848274271161,2.0,0.1,28,raw_plus_engineered,,,,,,,
fold,ridge_raw_plus_engineered,r2_f5,327,84,4.20470345970861,3.35164057820867,0.3586393360868373,2.0,100.0,28,raw_plus_engineered,,,,,,,
fold,ridge_raw_plus_engineered,r3_f1,331,80,2.8892562873715653,2.284671041034076,0.5364455296138402,3.0,0.1,28,raw_plus_engineered,,,,,,,
fold,ridge_raw_plus_engineered,r3_f2,327,84,2.8929159830123914,2.190529174460127,0.7006557429394609,3.0,100.0,28,raw_plus_engineered,,,,,,,
fold,ridge_raw_plus_engineered,r3_f3,324,87,3.409488799070367,2.7066328940606192,0.4289367077360313,3.0,10.0,28,raw_plus_engineered,,,,,,,
fold,ridge_raw_plus_engineered,r3_f4,324,87,2.779440673548076,2.266725374304317,0.6491475199365966,3.0,100.0,28,raw_plus_engineered,,,,,,,
fold,ridge_raw_plus_engineered,r3_f5,338,73,3.5557204337144577,2.9405469882346247,0.4114744516910729,3.0,100.0,28,raw_plus_engineered,,,,,,,
fold,ridge_engineered_interactions,r1_f1,332,79,2.3479126072213043,1.9026963522190674,0.7704162021534988,1.0,10.0,12,engineered_interactions,,,,,,,
fold,ridge_engineered_interactions,r1_f2,333,78,3.9475702861690554,2.7860923650403264,-0.1753004344023097,1.0,10.0,12,engineered_interactions,,,,,,,
fold,ridge_engineered_interactions,r1_f3,328,83,4.2198911793558675,3.3534891822890067,0.17603649513022546,1.0,10.0,12,engineered_interactions,,,,,,,
fold,ridge_engineered_interactions,r1_f4,331,80,3.4922758577877064,2.7370758469498364,0.5863469531572272,1.0,10.0,12,engineered_interactions,,,,,,,
fold,ridge_engineered_interactions,r1_f5,320,91,2.6949996903619806,2.125865584599932,0.5952597029210651,1.0,10.0,12,engineered_interactions,,,,,,,
fold,ridge_engineered_interactions,r2_f1,325,86,2.837719780173118,2.1351699584621944,0.6008442304243597,2.0,10.0,12,engineered_interactions,,,,,,,
