pitcher,pitch_type,pitches,avg_velocity,avg_release_extension,avg_pfx_x,avg_pfx_z,swings,whiffs,out_of_zone_pitches,chases,batted_balls,hard_hits,avg_run_value,whiff_rate,chase_rate,hard_hit_rate
519242,SL,100,77.98100000000001,6.314,-0.7347,-0.217,49,28,58,21,20,3,0.029079999999999998,0.5714285714285714,0.3620689655172414,0.15
519242,FF,84,94.25833333333333,6.6726190476190474,1.1247619047619049,0.7804761904761905,41,5,31,4,35,4,0.017619047619047618,0.12195121951219512,0.12903225806451613,0.11428571428571428
663623,CU,78,77.96153846153847,7.032051282051282,1.162820512820513,-0.3117948717948718,38,10,37,16,24,8,-0.009307692307692307,0.2631578947368421,0.43243243243243246,0.3333333333333333
641154,FF,75,94.16266666666667,7.045333333333333,-0.6118666666666667,1.2296,33,6,30,5,26,4,0.0075066666666666676,0.18181818181818182,0.16666666666666666,0.15384615384615385
543135,FS,64,87.371875,6.8546875,-0.8040625,-0.043750000000000004,33,14,39,12,19,4,0.033874999999999995,0.42424242424242425,0.3076923076923077,0.21052631578947367
663978,FF,64,93.1375,7.08125,-0.69671875,1.63828125,34,5,35,12,27,7,0.009859375,0.14705882352941177,0.34285714285714286,0.25925925925925924
676979,FF,64,96.1671875,6.671875,0.72171875,1.30125,33,14,28,5,18,4,-0.014703125000000001,0.42424242424242425,0.17857142857142858,0.2222222222222222
669203,FC,63,93.26507936507936,6.603174603174603,0.1907936507936508,1.1225396825396825,20,5,36,5,15,6,-0.04295238095238096,0.25,0.1388888888888889,0.4
650633,SI,62,92.75483870967743,6.008064516129032,-1.7514516129032258,0.3662903225806452,17,3,22,3,14,3,0.03480645161290322,0.17647058823529413,0.13636363636363635,0.21428571428571427
615698,SI,61,92.83934426229509,6.298360655737705,-1.080655737704918,1.1914754098360656,29,6,24,5,22,9,-0.06004918032786885,0.20689655172413793,0.20833333333333334,0.4090909090909091
691594,FA,61,61.619672131147546,3.9803278688524593,-0.8198360655737704,1.061311475409836,30,3,29,5,27,7,-0.0859016393442623,0.1,0.1724137931034483,0.25925925925925924
668678,FF,60,93.36666666666666,6.52,-0.29133333333333333,1.4071666666666667,24,4,30,7,20,4,0.008316666666666665,0.16666666666666666,0.23333333333333334,0.2
668881,FF,59,98.84915254237289,6.467796610169492,-0.6291525423728813,1.1306779661016948,32,8,22,6,22,3,0.03835593220338983,0.25,0.2727272727272727,0.13636363636363635
801403,FF,59,97.5542372881356,5.993220338983051,-0.8993220338983051,1.0225423728813559,32,8,27,7,23,2,0.004779661016949153,0.25,0.25925925925925924,0.08695652173913043
542881,CH,58,77.66034482758621,5.8517241379310345,1.015344827586207,1.0913793103448275,30,14,38,16,16,1,0.0135,0.4666666666666667,0.42105263157894735,0.0625
650633,FF,57,93.9140350877193,6.014035087719298,-0.6459649122807017,1.4549122807017543,29,12,26,5,14,1,0.03973684210526316,0.41379310344827586,0.19230769230769232,0.07142857142857142
500779,SI,55,90.13272727272728,6.5636363636363635,1.229090909090909,1.0314545454545454,21,4,25,4,17,3,0.005781818181818179,0.19047619047619047,0.16,0.17647058823529413
671737,FF,54,95.96851851851852,6.375925925925926,-0.5025925925925926,1.4448148148148148,27,1,16,1,24,4,0.008814814814814819,0.037037037037037035,0.0625,0.16666666666666666
680730,FF,54,92.09629629629629,6.71111111111111,0.337037037037037,1.5183333333333333,28,0,25,7,26,9,-0.005703703703703706,0.0,0.28,0.34615384615384615
571927,SI,52,93.92692307692307,6.4692307692307685,1.2223076923076923,0.963076923076923,28,6,16,3,22,2,0.03728846153846154,0.21428571428571427,0.1875,0.09090909090909091
669022,FF,52,95.79615384615384,6.876923076923077,0.5769230769230769,1.4559615384615383,34,6,19,5,26,6,-0.029461538461538466,0.17647058823529413,0.2631578947368421,0.23076923076923078
657746,FF,51,93.75098039215686,6.8313725490196076,-0.8152941176470588,1.1150980392156862,33,15,16,5,16,4,0.05449019607843137,0.45454545454545453,0.3125,0.25
608337,FF,51,93.29803921568627,7.003921568627451,-0.5929411764705883,1.5166666666666666,16,5,22,4,11,6,0.0352156862745098,0.3125,0.18181818181818182,0.5454545454545454
601713,FF,51,94.29803921568627,6.837254901960784,-0.23960784313725492,1.7980392156862746,25,7,20,5,16,5,0.014607843137254906,0.28,0.25,0.3125
622608,FF,51,94.16078431372549,6.078431372549019,-0.17745098039215687,0.8578431372549019,24,4,21,3,16,6,0.006176470588235295,0.16666666666666666,0.14285714285714285,0.375
669724,SI,51,94.95098039215686,6.2254901960784315,-1.4239215686274511,0.3707843137254902,22,1,18,4,19,6,0.002960784313725489,0.045454545454545456,0.2222222222222222,0.3157894736842105
694738,CU,51,76.13529411764706,6.176470588235294,1.5731372549019609,-0.5429411764705883,27,10,25,9,15,3,-0.022549019607843137,0.37037037037037035,0.36,0.2
596271,SI,51,87.62156862745098,6.013725490196078,-1.345686274509804,0.34862745098039216,25,2,18,4,23,8,-0.04264705882352942,0.08,0.2222222222222222,0.34782608695652173
695418,FF,50,95.036,5.794,-1.3184,0.8996,35,8,16,4,24,6,0.024419999999999997,0.22857142857142856,0.25,0.25
592332,FF,50,93.758,6.518,-1.0344,1.4884,20,2,21,4,16,2,-0.02276,0.1,0.19047619047619047,0.125
656302,SL,49,88.28571428571429,6.422448979591836,-0.008775510204081632,0.3936734693877551,23,10,27,9,13,2,0.011020408163265306,0.43478260869565216,0.3333333333333333,0.15384615384615385
671096,FF,49,90.80408163265305,6.357142857142857,0.6748979591836735,1.1579591836734695,20,2,23,4,18,4,-0.006428571428571431,0.1,0.17391304347826086,0.2222222222222222
642547,FF,49,93.00408163265305,6.775510204081633,-0.46408163265306124,1.447142857142857,21,2,23,6,18,6,-0.024142857142857143,0.09523809523809523,0.2608695652173913,0.3333333333333333
694738,SI,49,92.76938775510203,6.406122448979591,-1.7483673469387755,0.3977551020408163,15,0,24,2,13,3,-0.024224489795918375,0.0,0.08333333333333333,0.23076923076923078
664285,SI,48,93.54166666666667,5.845833333333334,1.3664583333333333,0.5510416666666667,20,3,21,3,17,3,0.04541666666666667,0.15,0.14285714285714285,0.17647058823529413
607067,FF,48,93.30208333333333,6.760416666666667,-0.685,1.2025,25,7,15,3,14,3,0.03216666666666667,0.28,0.2,0.21428571428571427
622663,FF,48,95.58333333333333,6.09375,-0.6929166666666666,1.416875,30,8,12,3,21,9,0.003708333333333333,0.26666666666666666,0.25,0.42857142857142855
605488,FF,48,90.32083333333333,6.54375,0.8158333333333333,1.4508333333333334,21,5,24,7,15,2,-0.0035625000000000014,0.23809523809523808,0.2916666666666667,0.13333333333333333
686799,SI,48,94.79375,6.422916666666667,-1.31625,0.3222916666666667,21,4,20,4,16,4,-0.015937499999999997,0.19047619047619047,0.2,0.25
622663,FC,48,92.39166666666667,6.3062499999999995,-0.089375,0.6927083333333334,20,5,25,4,14,4,-0.01647916666666667,0.25,0.16,0.2857142857142857
669093,FF,48,97.69791666666667,6.789583333333333,-0.27895833333333336,1.7277083333333332,29,6,24,8,20,2,-0.023520833333333335,0.20689655172413793,0.3333333333333333,0.1
680573,FF,47,93.14893617021276,6.540425531914893,-0.5757446808510638,1.664468085106383,27,10,19,4,16,5,0.06942553191489362,0.37037037037037035,0.21052631578947367,0.3125
542881,FF,47,88.62553191489361,5.9787234042553195,0.5197872340425532,1.6231914893617023,31,6,15,5,24,6,0.05621276595744681,0.1935483870967742,0.3333333333333333,0.25
434378,FF,46,94.01086956521739,6.0804347826086955,-0.7169565217391304,1.6341304347826087,30,8,18,7,20,4,0.02856521739130435,0.26666666666666666,0.3888888888888889,0.2
